"Variable","Level","BMI_cat","Count","Percent","p.value_rounded","p_adj_rounded"
"Time_zero_Ym","2012-07-01","Normal",302,"0.8%",NA,NA
"Time_zero_Ym","2012-08-01","Normal",289,"0.7%",NA,NA
"Time_zero_Ym","2012-09-01","Normal",256,"0.6%",NA,NA
"Time_zero_Ym","2012-10-01","Normal",284,"0.7%",NA,NA
"Time_zero_Ym","2012-11-01","Normal",316,"0.8%",NA,NA
"Time_zero_Ym","2012-12-01","Normal",336,"0.8%",NA,NA
"Time_zero_Ym","2013-01-01","Normal",316,"0.8%",NA,NA
"Time_zero_Ym","2013-02-01","Normal",256,"0.6%",NA,NA
"Time_zero_Ym","2013-03-01","Normal",287,"0.7%",NA,NA
"Time_zero_Ym","2013-04-01","Normal",280,"0.7%",NA,NA
"Time_zero_Ym","2013-05-01","Normal",301,"0.8%",NA,NA
"Time_zero_Ym","2013-06-01","Normal",424,"1.1%",NA,NA
"Time_zero_Ym","2013-06-28","Normal",1,"0.0%",NA,NA
"Time_zero_Ym","2013-07-01","Normal",300,"0.8%",NA,NA
"Time_zero_Ym","2013-08-01","Normal",293,"0.7%",NA,NA
"Time_zero_Ym","2013-09-01","Normal",283,"0.7%",NA,NA
"Time_zero_Ym","2013-10-01","Normal",268,"0.7%",NA,NA
"Time_zero_Ym","2013-11-01","Normal",313,"0.8%",NA,NA
"Time_zero_Ym","2013-12-01","Normal",314,"0.8%",NA,NA
"Time_zero_Ym","2014-01-01","Normal",316,"0.8%",NA,NA
"Time_zero_Ym","2014-02-01","Normal",261,"0.7%",NA,NA
"Time_zero_Ym","2014-03-01","Normal",328,"0.8%",NA,NA
"Time_zero_Ym","2014-04-01","Normal",286,"0.7%",NA,NA
"Time_zero_Ym","2014-05-01","Normal",269,"0.7%",NA,NA
"Time_zero_Ym","2014-06-01","Normal",283,"0.7%",NA,NA
"Time_zero_Ym","2014-07-01","Normal",286,"0.7%",NA,NA
"Time_zero_Ym","2014-08-01","Normal",256,"0.6%",NA,NA
"Time_zero_Ym","2014-09-01","Normal",229,"0.6%",NA,NA
"Time_zero_Ym","2014-10-01","Normal",311,"0.8%",NA,NA
"Time_zero_Ym","2014-11-01","Normal",281,"0.7%",NA,NA
"Time_zero_Ym","2014-12-01","Normal",316,"0.8%",NA,NA
"Time_zero_Ym","2015-01-01","Normal",293,"0.7%",NA,NA
"Time_zero_Ym","2015-02-01","Normal",271,"0.7%",NA,NA
"Time_zero_Ym","2015-03-01","Normal",295,"0.7%",NA,NA
"Time_zero_Ym","2015-04-01","Normal",257,"0.6%",NA,NA
"Time_zero_Ym","2015-05-01","Normal",284,"0.7%",NA,NA
"Time_zero_Ym","2015-06-01","Normal",279,"0.7%",NA,NA
"Time_zero_Ym","2015-07-01","Normal",373,"0.9%",NA,NA
"Time_zero_Ym","2015-08-01","Normal",283,"0.7%",NA,NA
"Time_zero_Ym","2015-09-01","Normal",267,"0.7%",NA,NA
"Time_zero_Ym","2015-10-01","Normal",274,"0.7%",NA,NA
"Time_zero_Ym","2015-11-01","Normal",285,"0.7%",NA,NA
"Time_zero_Ym","2015-12-01","Normal",298,"0.7%",NA,NA
"Time_zero_Ym","2016-01-01","Normal",290,"0.7%",NA,NA
"Time_zero_Ym","2016-02-01","Normal",268,"0.7%",NA,NA
"Time_zero_Ym","2016-03-01","Normal",314,"0.8%",NA,NA
"Time_zero_Ym","2016-04-01","Normal",289,"0.7%",NA,NA
"Time_zero_Ym","2016-05-01","Normal",310,"0.8%",NA,NA
"Time_zero_Ym","2016-06-01","Normal",258,"0.6%",NA,NA
"Time_zero_Ym","2016-07-01","Normal",276,"0.7%",NA,NA
"Time_zero_Ym","2016-08-01","Normal",278,"0.7%",NA,NA
"Time_zero_Ym","2016-09-01","Normal",236,"0.6%",NA,NA
"Time_zero_Ym","2016-10-01","Normal",252,"0.6%",NA,NA
"Time_zero_Ym","2016-11-01","Normal",284,"0.7%",NA,NA
"Time_zero_Ym","2016-12-01","Normal",328,"0.8%",NA,NA
"Time_zero_Ym","2017-01-01","Normal",316,"0.8%",NA,NA
"Time_zero_Ym","2017-02-01","Normal",260,"0.7%",NA,NA
"Time_zero_Ym","2017-03-01","Normal",256,"0.6%",NA,NA
"Time_zero_Ym","2017-04-01","Normal",271,"0.7%",NA,NA
"Time_zero_Ym","2017-05-01","Normal",291,"0.7%",NA,NA
"Time_zero_Ym","2017-06-01","Normal",277,"0.7%",NA,NA
"Time_zero_Ym","2017-07-01","Normal",291,"0.7%",NA,NA
"Time_zero_Ym","2017-08-01","Normal",244,"0.6%",NA,NA
"Time_zero_Ym","2017-09-01","Normal",283,"0.7%",NA,NA
"Time_zero_Ym","2017-10-01","Normal",290,"0.7%",NA,NA
"Time_zero_Ym","2017-11-01","Normal",255,"0.6%",NA,NA
"Time_zero_Ym","2017-12-01","Normal",286,"0.7%",NA,NA
"Time_zero_Ym","2018-01-01","Normal",4,"0.0%",NA,NA
"Time_zero_Ym","2018-02-01","Normal",1,"0.0%",NA,NA
"Time_zero_Ym","2018-03-01","Normal",1,"0.0%",NA,NA
"Time_zero_Ym","2018-05-01","Normal",1,"0.0%",NA,NA
"Time_zero_Ym","2018-06-01","Normal",2,"0.0%",NA,NA
"Time_zero_Ym","2018-09-01","Normal",1,"0.0%",NA,NA
"Time_zero_Ym","2018-10-01","Normal",2,"0.0%",NA,NA
"Time_zero_Ym","2018-11-01","Normal",2,"0.0%",NA,NA
"Time_zero_Ym","2019-01-01","Normal",2,"0.0%",NA,NA
"Time_zero_Ym","2019-02-01","Normal",2,"0.0%",NA,NA
"Time_zero_Ym","2019-04-01","Normal",2,"0.0%",NA,NA
"Time_zero_Ym","2019-07-01","Normal",1,"0.0%",NA,NA
"Time_zero_Ym","2019-08-01","Normal",1,"0.0%",NA,NA
"Time_zero_Ym","2019-10-01","Normal",1,"0.0%",NA,NA
"Time_zero_Ym","2019-12-01","Normal",2,"0.0%",NA,NA
"Time_zero_Ym","2020-01-01","Normal",1,"0.0%",NA,NA
"ACE_inhibitor","No","Overweight",18719,"35.9%",8.67e-09,1.44e-08
"ACE_inhibitor","Yes","Overweight",32241,"61.8%",8.67e-09,1.44e-08
"ACE_inhibitor",NA,"Overweight",1193,"2.3%",8.67e-09,1.44e-08
"ACE_inhibitor_ARB","No","Overweight",10053,"19.3%",2.86e-164,1.08e-163
"ACE_inhibitor_ARB","Yes","Overweight",41764,"80.1%",2.86e-164,1.08e-163
"ACE_inhibitor_ARB",NA,"Overweight",336,"0.6%",2.86e-164,1.08e-163
"AF_atrial_flutter","No","Overweight",43152,"82.7%",3.24e-20,7.15e-20
"AF_atrial_flutter","Yes","Overweight",6004,"11.5%",3.24e-20,7.15e-20
"AF_atrial_flutter",NA,"Overweight",2997,"5.7%",3.24e-20,7.15e-20
"ARB","No","Overweight",40533,"77.7%",3.38e-192,1.49e-191
"ARB","Yes","Overweight",8866,"17.0%",3.38e-192,1.49e-191
"ARB",NA,"Overweight",2754,"5.3%",3.38e-192,1.49e-191
"AV_block","No","Overweight",2526,"4.8%",0.13,0.146
"AV_block","Yes","Overweight",313,"0.6%",0.13,0.146
"AV_block",NA,"Overweight",49314,"94.6%",0.13,0.146
"AV_block_II_or_III","No","Overweight",2790,"5.3%",0.839,0.839
"AV_block_II_or_III","Yes","Overweight",4,"0.0%",0.839,0.839
"AV_block_II_or_III",NA,"Overweight",49359,"94.6%",0.839,0.839
"Alcohol","No","Overweight",754,"1.4%",0.00104,0.00138
"Alcohol","Yes","Overweight",1583,"3.0%",0.00104,0.00138
"Alcohol",NA,"Overweight",49816,"95.5%",0.00104,0.00138
"Aldosterone_antagonist","No","Overweight",27105,"52.0%",3.46e-15,6.79e-15
"Aldosterone_antagonist","Yes","Overweight",2053,"3.9%",3.46e-15,6.79e-15
"Aldosterone_antagonist",NA,"Overweight",22995,"44.1%",3.46e-15,6.79e-15
"Anti_anginal","No","Overweight",42113,"80.7%",1.61e-09,2.75e-09
"Anti_anginal","Yes","Overweight",5335,"10.2%",1.61e-09,2.75e-09
"Anti_anginal",NA,"Overweight",4705,"9.0%",1.61e-09,2.75e-09
"Anti_arrhythmic_III","No","Overweight",5615,"10.8%",0.05,0.0616
"Anti_arrhythmic_III","Yes","Overweight",190,"0.4%",0.05,0.0616
"Anti_arrhythmic_III",NA,"Overweight",46348,"88.9%",0.05,0.0616
"Anti_coagulant","No","Overweight",43106,"82.7%",1.13e-06,1.66e-06
"Anti_coagulant","Yes","Overweight",4531,"8.7%",1.13e-06,1.66e-06
"Anti_coagulant",NA,"Overweight",4516,"8.7%",1.13e-06,1.66e-06
"Anti_diabetic","No","Overweight",42996,"82.4%",0,0
"Anti_diabetic","Yes","Overweight",7668,"14.7%",0,0
"Anti_diabetic",NA,"Overweight",1489,"2.9%",0,0
"Anti_diabetic_insulin","No","Overweight",46646,"89.4%",0,0
"Anti_diabetic_insulin","Yes","Overweight",4089,"7.8%",0,0
"Anti_diabetic_insulin",NA,"Overweight",1418,"2.7%",0,0
"Anti_diabetic_oral","No","Overweight",45527,"87.3%",0,0
"Anti_diabetic_oral","Yes","Overweight",5194,"10.0%",0,0
"Anti_diabetic_oral",NA,"Overweight",1432,"2.7%",0,0
"Anti_platelet","No","Overweight",1885,"3.6%",2.75e-28,6.63e-28
"Anti_platelet","Yes","Overweight",48135,"92.3%",2.75e-28,6.63e-28
"Anti_platelet",NA,"Overweight",2133,"4.1%",2.75e-28,6.63e-28
"Baseline_type","MI","Overweight",47604,"91.3%",0,0
"Baseline_type","MI40d","Overweight",2880,"5.5%",0,0
"Baseline_type",NA,"Overweight",1669,"3.2%",0,0
"Beta_blockers","No","Overweight",5599,"10.7%",2.61e-34,6.92e-34
"Beta_blockers","Yes","Overweight",46411,"89.0%",2.61e-34,6.92e-34
"Beta_blockers",NA,"Overweight",143,"0.3%",2.61e-34,6.92e-34
"CABG","No","Overweight",45228,"86.7%",3.76e-34,9.5e-34
"CABG","Yes","Overweight",4196,"8.0%",3.76e-34,9.5e-34
"CABG",NA,"Overweight",2729,"5.2%",3.76e-34,9.5e-34
"CABG_acute","No","Overweight",31387,"60.2%",0.676,0.703
"CABG_acute","Yes","Overweight",212,"0.4%",0.676,0.703
"CABG_acute",NA,"Overweight",20554,"39.4%",0.676,0.703
"COPD","No","Overweight",5166,"9.9%",1.54e-14,2.92e-14
"COPD","Yes","Overweight",354,"0.7%",1.54e-14,2.92e-14
"COPD",NA,"Overweight",46633,"89.4%",1.54e-14,2.92e-14
"CVD_risk_region","1","Overweight",530,"1.0%",1.05e-292,6.96e-292
"CVD_risk_region","2","Overweight",46659,"89.5%",1.05e-292,6.96e-292
"CVD_risk_region","3","Overweight",4572,"8.8%",1.05e-292,6.96e-292
"CVD_risk_region","4","Overweight",392,"0.8%",1.05e-292,6.96e-292
"Calcium_antagonists","No","Overweight",40115,"76.9%",9.66e-149,3.41e-148
"Calcium_antagonists","Yes","Overweight",7373,"14.1%",9.66e-149,3.41e-148
"Calcium_antagonists",NA,"Overweight",4665,"8.9%",9.66e-149,3.41e-148
"Cancer","No","Overweight",288,"0.6%",0.612,0.662
"Cancer","Yes","Overweight",1,"0.0%",0.612,0.662
"Cancer",NA,"Overweight",51864,"99.4%",0.612,0.662
"Diabetes","No","Overweight",40987,"78.6%",0,0
"Diabetes","Yes","Overweight",11016,"21.1%",0,0
"Diabetes",NA,"Overweight",150,"0.3%",0,0
"Digitalis_glycosides","No","Overweight",48074,"92.2%",9.89e-19,2.02e-18
"Digitalis_glycosides","Yes","Overweight",831,"1.6%",9.89e-19,2.02e-18
"Digitalis_glycosides",NA,"Overweight",3248,"6.2%",9.89e-19,2.02e-18
"Diseased_arteries_num_cat","0","Overweight",200,"0.4%",0.000863,0.00117
"Diseased_arteries_num_cat","1","Overweight",642,"1.2%",0.000863,0.00117
"Diseased_arteries_num_cat","2","Overweight",547,"1.0%",0.000863,0.00117
"Diseased_arteries_num_cat","geq3","Overweight",658,"1.3%",0.000863,0.00117
"Diseased_arteries_num_cat",NA,"Overweight",50106,"96.1%",0.000863,0.00117
"Diuretics","No","Overweight",38799,"74.4%",1.46e-247,8.59999999999999e-247
"Diuretics","Yes","Overweight",13131,"25.2%",1.46e-247,8.59999999999999e-247
"Diuretics",NA,"Overweight",223,"0.4%",1.46e-247,8.59999999999999e-247
"FH_CAD","No","Overweight",1148,"2.2%",1.05e-09,1.86e-09
"FH_CAD","Yes","Overweight",1104,"2.1%",1.05e-09,1.86e-09
"FH_CAD",NA,"Overweight",49901,"95.7%",1.05e-09,1.86e-09
"FH_SCD","No","Overweight",1585,"3.0%",0.0195,0.0252
"FH_SCD","Yes","Overweight",480,"0.9%",0.0195,0.0252
"FH_SCD",NA,"Overweight",50088,"96.0%",0.0195,0.0252
"HF","No","Overweight",42758,"82.0%",1.47e-26,3.4e-26
"HF","Yes","Overweight",2746,"5.3%",1.47e-26,3.4e-26
"HF",NA,"Overweight",6649,"12.7%",1.47e-26,3.4e-26
"HasMRI","No","Overweight",51552,"98.8%",9.24e-06,1.32e-05
"HasMRI","Yes","Overweight",601,"1.2%",9.24e-06,1.32e-05
"Hypertension","No","Overweight",24991,"47.9%",0,0
"Hypertension","Yes","Overweight",25855,"49.6%",0,0
"Hypertension",NA,"Overweight",1307,"2.5%",0,0
"IsSWHR","0","Overweight",4496,"8.6%",4.11e-207,1.98e-206
"IsSWHR","1","Overweight",45988,"88.2%",4.11e-207,1.98e-206
"IsSWHR",NA,"Overweight",1669,"3.2%",4.11e-207,1.98e-206
"LBBB","No","Overweight",46709,"89.6%",1.52e-05,2.11e-05
"LBBB","Yes","Overweight",2317,"4.4%",1.52e-05,2.11e-05
"LBBB",NA,"Overweight",3127,"6.0%",1.52e-05,2.11e-05
"Lipid_lowering","No","Overweight",3934,"7.5%",3.26e-240,1.73e-239
"Lipid_lowering","Yes","Overweight",47999,"92.0%",3.26e-240,1.73e-239
"Lipid_lowering",NA,"Overweight",220,"0.4%",3.26e-240,1.73e-239
"MI_history","No","Overweight",38728,"74.3%",3.41e-07,5.32e-07
"MI_history","Yes","Overweight",8836,"16.9%",3.41e-07,5.32e-07
"MI_history",NA,"Overweight",4589,"8.8%",3.41e-07,5.32e-07
"MI_location_anterior","No","Overweight",2462,"4.7%",5.42e-07,8.2e-07
"MI_location_anterior","Yes","Overweight",1417,"2.7%",5.42e-07,8.2e-07
"MI_location_anterior",NA,"Overweight",48274,"92.6%",5.42e-07,8.2e-07
"MI_location_inferior","No","Overweight",2185,"4.2%",0.0649,0.0764
"MI_location_inferior","Yes","Overweight",1694,"3.2%",0.0649,0.0764
"MI_location_inferior",NA,"Overweight",48274,"92.6%",0.0649,0.0764
"MI_location_lateral","No","Overweight",3235,"6.2%",0.639,0.678
"MI_location_lateral","Yes","Overweight",471,"0.9%",0.639,0.678
"MI_location_lateral",NA,"Overweight",48447,"92.9%",0.639,0.678
"MI_location_posterior","No","Overweight",2094,"4.0%",0.0247,0.0311
"MI_location_posterior","Yes","Overweight",111,"0.2%",0.0247,0.0311
"MI_location_posterior",NA,"Overweight",49948,"95.8%",0.0247,0.0311
"MI_type","NSTEMI","Overweight",31373,"60.2%",1.71e-19,3.63e-19
"MI_type","STEMI","Overweight",14863,"28.5%",1.71e-19,3.63e-19
"MI_type",NA,"Overweight",5917,"11.3%",1.71e-19,3.63e-19
"MR","Moderate","Overweight",102,"0.2%",0.0886,0.102
"MR","None or mild","Overweight",860,"1.6%",0.0886,0.102
"MR","Severe","Overweight",19,"0.0%",0.0886,0.102
"MR",NA,"Overweight",51172,"98.1%",0.0886,0.102
"NSVT","No","Overweight",299,"0.6%",0.0609,0.0733
"NSVT","Yes","Overweight",48,"0.1%",0.0609,0.0733
"NSVT",NA,"Overweight",51806,"99.3%",0.0609,0.0733
"NYHA","I","Overweight",2457,"4.7%",2.21e-07,3.55e-07
"NYHA","II","Overweight",1395,"2.7%",2.21e-07,3.55e-07
"NYHA","III","Overweight",534,"1.0%",2.21e-07,3.55e-07
"NYHA","IV","Overweight",53,"0.1%",2.21e-07,3.55e-07
"NYHA",NA,"Overweight",47714,"91.5%",2.21e-07,3.55e-07
"PCI","No","Overweight",40815,"78.3%",1.74e-175,7.08e-175
"PCI","Yes","Overweight",8034,"15.4%",1.74e-175,7.08e-175
"PCI",NA,"Overweight",3304,"6.3%",1.74e-175,7.08e-175
"PCI_acute","No","Overweight",30814,"59.1%",8.41e-41,2.34e-40
"PCI_acute","Yes","Overweight",16934,"32.5%",8.41e-41,2.34e-40
"PCI_acute",NA,"Overweight",4405,"8.4%",8.41e-41,2.34e-40
"RBBB","No","Overweight",45964,"88.1%",0.808,0.823
"RBBB","Yes","Overweight",2106,"4.0%",0.808,0.823
"RBBB",NA,"Overweight",4083,"7.8%",0.808,0.823
"Revascularisation_acute","No","Overweight",29974,"57.5%",4.27e-43,1.26e-42
"Revascularisation_acute","Yes","Overweight",17774,"34.1%",4.27e-43,1.26e-42
"Revascularisation_acute",NA,"Overweight",4405,"8.4%",4.27e-43,1.26e-42
"Sex","Female","Overweight",13283,"25.5%",0,0
"Sex","Male","Overweight",38870,"74.5%",0,0
"Smoking","No","Overweight",19934,"38.2%",4.99e-66,1.65e-65
"Smoking","Yes","Overweight",29662,"56.9%",4.99e-66,1.65e-65
"Smoking",NA,"Overweight",2557,"4.9%",4.99e-66,1.65e-65
"Stroke_TIA","No","Overweight",45619,"87.5%",2.99e-12,5.46e-12
"Stroke_TIA","Yes","Overweight",3168,"6.1%",2.99e-12,5.46e-12
"Stroke_TIA",NA,"Overweight",3366,"6.5%",2.99e-12,5.46e-12
"Thrombolysis_acute","No","Overweight",46851,"89.8%",0.546,0.603
"Thrombolysis_acute","Yes","Overweight",649,"1.2%",0.546,0.603
"Thrombolysis_acute",NA,"Overweight",4653,"8.9%",0.546,0.603
"Time_zero_Y","1994","Overweight",1,"0.0%",3.2e-44,9.97e-44
"Time_zero_Y","1995","Overweight",86,"0.2%",3.2e-44,9.97e-44
"Time_zero_Y","1996","Overweight",107,"0.2%",3.2e-44,9.97e-44
"Time_zero_Y","1997","Overweight",191,"0.4%",3.2e-44,9.97e-44
"Time_zero_Y","1998","Overweight",279,"0.5%",3.2e-44,9.97e-44
"Time_zero_Y","1999","Overweight",288,"0.6%",3.2e-44,9.97e-44
"Time_zero_Y","2000","Overweight",365,"0.7%",3.2e-44,9.97e-44
"Time_zero_Y","2001","Overweight",271,"0.5%",3.2e-44,9.97e-44
"Time_zero_Y","2002","Overweight",158,"0.3%",3.2e-44,9.97e-44
"Time_zero_Y","2003","Overweight",159,"0.3%",3.2e-44,9.97e-44
"Time_zero_Y","2004","Overweight",52,"0.1%",3.2e-44,9.97e-44
"Time_zero_Y","2005","Overweight",42,"0.1%",3.2e-44,9.97e-44
"Time_zero_Y","2006","Overweight",2539,"4.9%",3.2e-44,9.97e-44
"Time_zero_Y","2007","Overweight",3173,"6.1%",3.2e-44,9.97e-44
"Time_zero_Y","2008","Overweight",3321,"6.4%",3.2e-44,9.97e-44
"Time_zero_Y","2009","Overweight",3344,"6.4%",3.2e-44,9.97e-44
"Time_zero_Y","2010","Overweight",4402,"8.4%",3.2e-44,9.97e-44
"Time_zero_Y","2011","Overweight",4979,"9.5%",3.2e-44,9.97e-44
"Time_zero_Y","2012","Overweight",5489,"10.5%",3.2e-44,9.97e-44
"Time_zero_Y","2013","Overweight",4812,"9.2%",3.2e-44,9.97e-44
"Time_zero_Y","2014","Overweight",4389,"8.4%",3.2e-44,9.97e-44
"Time_zero_Y","2015","Overweight",4479,"8.6%",3.2e-44,9.97e-44
"Time_zero_Y","2016","Overweight",4548,"8.7%",3.2e-44,9.97e-44
"Time_zero_Y","2017","Overweight",4634,"8.9%",3.2e-44,9.97e-44
"Time_zero_Y","2018","Overweight",27,"0.1%",3.2e-44,9.97e-44
"Time_zero_Y","2019","Overweight",17,"0.0%",3.2e-44,9.97e-44
"Time_zero_Y","2020","Overweight",1,"0.0%",3.2e-44,9.97e-44
"Time_zero_Ym","1994-12-01","Overweight",1,"0.0%",NA,NA
"Time_zero_Ym","1995-01-01","Overweight",3,"0.0%",NA,NA
"Time_zero_Ym","1995-02-01","Overweight",4,"0.0%",NA,NA
"Time_zero_Ym","1995-03-01","Overweight",4,"0.0%",NA,NA
"Time_zero_Ym","1995-04-01","Overweight",4,"0.0%",NA,NA
"Time_zero_Ym","1995-05-01","Overweight",6,"0.0%",NA,NA
"Time_zero_Ym","1995-06-01","Overweight",10,"0.0%",NA,NA
"Time_zero_Ym","1995-07-01","Overweight",7,"0.0%",NA,NA
"Time_zero_Ym","1995-08-01","Overweight",11,"0.0%",NA,NA
"Time_zero_Ym","1995-09-01","Overweight",10,"0.0%",NA,NA
"Time_zero_Ym","1995-10-01","Overweight",11,"0.0%",NA,NA
"Time_zero_Ym","1995-11-01","Overweight",7,"0.0%",NA,NA
"Time_zero_Ym","1995-12-01","Overweight",9,"0.0%",NA,NA
"Time_zero_Ym","1996-01-01","Overweight",5,"0.0%",NA,NA
"Time_zero_Ym","1996-02-01","Overweight",11,"0.0%",NA,NA
"Time_zero_Ym","1996-03-01","Overweight",5,"0.0%",NA,NA
"Time_zero_Ym","1996-04-01","Overweight",4,"0.0%",NA,NA
"Time_zero_Ym","1996-05-01","Overweight",8,"0.0%",NA,NA
"Time_zero_Ym","1996-06-01","Overweight",6,"0.0%",NA,NA
"Time_zero_Ym","1996-07-01","Overweight",14,"0.0%",NA,NA
"Time_zero_Ym","1996-08-01","Overweight",10,"0.0%",NA,NA
"Time_zero_Ym","1996-09-01","Overweight",9,"0.0%",NA,NA
"Time_zero_Ym","1996-10-01","Overweight",10,"0.0%",NA,NA
"Time_zero_Ym","1996-11-01","Overweight",13,"0.0%",NA,NA
"Time_zero_Ym","1996-12-01","Overweight",12,"0.0%",NA,NA
"Time_zero_Ym","1997-01-01","Overweight",16,"0.0%",NA,NA
"Time_zero_Ym","1997-02-01","Overweight",14,"0.0%",NA,NA
"Time_zero_Ym","1997-03-01","Overweight",12,"0.0%",NA,NA
"Time_zero_Ym","1997-04-01","Overweight",10,"0.0%",NA,NA
"Time_zero_Ym","1997-05-01","Overweight",14,"0.0%",NA,NA
"Time_zero_Ym","1997-06-01","Overweight",16,"0.0%",NA,NA
"Time_zero_Ym","1997-07-01","Overweight",21,"0.0%",NA,NA
"Time_zero_Ym","1997-08-01","Overweight",25,"0.0%",NA,NA
"Time_zero_Ym","1997-09-01","Overweight",14,"0.0%",NA,NA
"Time_zero_Ym","1997-10-01","Overweight",15,"0.0%",NA,NA
"Time_zero_Ym","1997-11-01","Overweight",16,"0.0%",NA,NA
"Time_zero_Ym","1997-12-01","Overweight",18,"0.0%",NA,NA
"Time_zero_Ym","1998-01-01","Overweight",18,"0.0%",NA,NA
"Time_zero_Ym","1998-02-01","Overweight",16,"0.0%",NA,NA
"Time_zero_Ym","1998-03-01","Overweight",16,"0.0%",NA,NA
"Time_zero_Ym","1998-04-01","Overweight",8,"0.0%",NA,NA
"Time_zero_Ym","1998-05-01","Overweight",12,"0.0%",NA,NA
"Time_zero_Ym","1998-06-01","Overweight",18,"0.0%",NA,NA
"Time_zero_Ym","1998-07-01","Overweight",103,"0.2%",NA,NA
"Time_zero_Ym","1998-08-01","Overweight",21,"0.0%",NA,NA
"Time_zero_Ym","1998-09-01","Overweight",21,"0.0%",NA,NA
"Time_zero_Ym","1998-10-01","Overweight",14,"0.0%",NA,NA
"Time_zero_Ym","1998-11-01","Overweight",15,"0.0%",NA,NA
"Time_zero_Ym","1998-12-01","Overweight",17,"0.0%",NA,NA
"Time_zero_Ym","1999-01-01","Overweight",22,"0.0%",NA,NA
"Time_zero_Ym","1999-02-01","Overweight",16,"0.0%",NA,NA
"Time_zero_Ym","1999-03-01","Overweight",23,"0.0%",NA,NA
"Time_zero_Ym","1999-04-01","Overweight",11,"0.0%",NA,NA
"Time_zero_Ym","1999-05-01","Overweight",16,"0.0%",NA,NA
"Time_zero_Ym","1999-06-01","Overweight",21,"0.0%",NA,NA
"Time_zero_Ym","1999-07-01","Overweight",102,"0.2%",NA,NA
"Time_zero_Ym","1999-08-01","Overweight",14,"0.0%",NA,NA
"Time_zero_Ym","1999-09-01","Overweight",17,"0.0%",NA,NA
"Time_zero_Ym","1999-10-01","Overweight",14,"0.0%",NA,NA
"Time_zero_Ym","1999-11-01","Overweight",20,"0.0%",NA,NA
"Time_zero_Ym","1999-12-01","Overweight",12,"0.0%",NA,NA
"Time_zero_Ym","2000-01-01","Overweight",24,"0.0%",NA,NA
"Time_zero_Ym","2000-02-01","Overweight",22,"0.0%",NA,NA
"Time_zero_Ym","2000-03-01","Overweight",15,"0.0%",NA,NA
"Time_zero_Ym","2000-04-01","Overweight",16,"0.0%",NA,NA
"Time_zero_Ym","2000-05-01","Overweight",17,"0.0%",NA,NA
"Time_zero_Ym","2000-06-01","Overweight",21,"0.0%",NA,NA
"Time_zero_Ym","2000-07-01","Overweight",153,"0.3%",NA,NA
"Time_zero_Ym","2000-08-01","Overweight",20,"0.0%",NA,NA
"Time_zero_Ym","2000-09-01","Overweight",14,"0.0%",NA,NA
"Time_zero_Ym","2000-10-01","Overweight",22,"0.0%",NA,NA
"Time_zero_Ym","2000-11-01","Overweight",22,"0.0%",NA,NA
"Time_zero_Ym","2000-12-01","Overweight",19,"0.0%",NA,NA
"Time_zero_Ym","2001-01-01","Overweight",16,"0.0%",NA,NA
"Time_zero_Ym","2001-02-01","Overweight",9,"0.0%",NA,NA
"Time_zero_Ym","2001-03-01","Overweight",12,"0.0%",NA,NA
"Time_zero_Ym","2001-04-01","Overweight",18,"0.0%",NA,NA
"Time_zero_Ym","2001-05-01","Overweight",19,"0.0%",NA,NA
"Time_zero_Ym","2001-06-01","Overweight",20,"0.0%",NA,NA
"Time_zero_Ym","2001-07-01","Overweight",105,"0.2%",NA,NA
"Time_zero_Ym","2001-08-01","Overweight",20,"0.0%",NA,NA
"Time_zero_Ym","2001-09-01","Overweight",8,"0.0%",NA,NA
"Time_zero_Ym","2001-10-01","Overweight",14,"0.0%",NA,NA
"Time_zero_Ym","2001-11-01","Overweight",17,"0.0%",NA,NA
"Time_zero_Ym","2001-12-01","Overweight",13,"0.0%",NA,NA
"Time_zero_Ym","2002-01-01","Overweight",16,"0.0%",NA,NA
"Time_zero_Ym","2002-02-01","Overweight",13,"0.0%",NA,NA
"Time_zero_Ym","2002-03-01","Overweight",15,"0.0%",NA,NA
"Time_zero_Ym","2002-04-01","Overweight",17,"0.0%",NA,NA
"Time_zero_Ym","2002-05-01","Overweight",13,"0.0%",NA,NA
"Time_zero_Ym","2002-06-01","Overweight",15,"0.0%",NA,NA
"Time_zero_Ym","2002-07-01","Overweight",15,"0.0%",NA,NA
"Time_zero_Ym","2002-08-01","Overweight",8,"0.0%",NA,NA
"Time_zero_Ym","2002-09-01","Overweight",14,"0.0%",NA,NA
"Time_zero_Ym","2002-10-01","Overweight",12,"0.0%",NA,NA
"Time_zero_Ym","2002-11-01","Overweight",8,"0.0%",NA,NA
"Time_zero_Ym","2002-12-01","Overweight",12,"0.0%",NA,NA
"Time_zero_Ym","2003-01-01","Overweight",11,"0.0%",NA,NA
"Time_zero_Ym","2003-02-01","Overweight",15,"0.0%",NA,NA
"Time_zero_Ym","2003-03-01","Overweight",10,"0.0%",NA,NA
"Time_zero_Ym","2003-04-01","Overweight",15,"0.0%",NA,NA
"Time_zero_Ym","2003-05-01","Overweight",15,"0.0%",NA,NA
"Time_zero_Ym","2003-06-01","Overweight",22,"0.0%",NA,NA
"Time_zero_Ym","2003-07-01","Overweight",12,"0.0%",NA,NA
"Time_zero_Ym","2003-08-01","Overweight",15,"0.0%",NA,NA
"Time_zero_Ym","2003-09-01","Overweight",13,"0.0%",NA,NA
